Sample name	labels
Kusch_2019_permafrost AG-0101	0
Kusch_2019_permafrost AG-0102	0
Kusch_2019_permafrost AG-0103	0
Kusch_2019_permafrost AG-0104	0
Kusch_2019_permafrost AG-0105	0
Kusch_2019_permafrost AG-0106	0
Kusch_2019_permafrost BK-8	0
Kusch_2019_permafrost KUB-C	0
Kusch_2019_permafrost KUB-R	0
Kusch_2019_permafrost KUU-C	0
Kusch_2019_permafrost KUU-R	0
Kusch_2019_permafrost L14-02	0
Kusch_2019_permafrost L14-03	0
Kusch_2019_permafrost L14-04	0
Kusch_2019_permafrost L14-05	0
Kusch_2019_permafrost SA-C	0
Kusch_2019_permafrost SA-R	0
Cao_2020 S1	0
Cao_2020 S2	0
Cao_2020 S3	0
Cao_2020 S4	0
Cao_2020 S5	0
Chen_2021 TW-1	0
Chen_2021 TW-2	0
Chen_2021 TW-3	0
Chen_2021 TW-4	0
Chen_2021 TW-5	0
Chen_2021 TW-6	0
Chen_2021 TW-7	0
Chen_2021 TW-8	0
Chen_2021 TW-9	0
Chen_2021 TW-10	0
Chen_2021 TW-11	0
Chen_2021 TW-12	0
Chen_2021 TW-13	0
Chen_2021 TW-14	0
Chen_2021 TW-15	0
Chen_2021 TW-16	0
Chen_2021 TW-17	0
Chen_2021 TW-18	0
Chen_2021 TW-19	0
Chen_2021 TW-20	0
Chen_2021 TW-21	0
Chen_2021 TW-22	0
Chen_2021 TW-23	0
Chen_2021 TW-24	0
Chen_2021 TW-25	0
Chen_2021 TW-26	0
Chen_2021 TW-27	0
Chen_2021 TW-28	0
Chen_2021 TE1-1	0
Chen_2021 TE1-2	0
Chen_2021 TE1-3	0
Chen_2021 TE1-4	0
Chen_2021 TE1-5	0
Chen_2021 TE1-6	0
Chen_2021 TE1-7	0
Chen_2021 TE1-8	0
Chen_2021 TE1-9	0
Chen_2021 TE1-10	0
Chen_2021 TE1-11	0
Chen_2021 TE1-12	0
Chen_2021 TE1-13	0
Chen_2021 TE1-14	0
Chen_2021 TE1-15	0
Chen_2021 TE1-16	0
Chen_2021 TE1-17	0
Chen_2021 TE1-18	0
Chen_2021 TE1-19	0
Chen_2021 TE1-20	0
Chen_2021 TE2-1	0
Chen_2021 TE2-2	0
Chen_2021 TE2-3	0
Chen_2021 TE2-4	0
Chen_2021 TE2-5	0
De Jonge 2019 1A	0
De Jonge 2019 1B	0
De Jonge 2019 1C	0
De Jonge 2019 1D	0
De Jonge 2019 1E	0
De Jonge 2019 1F	0
De Jonge 2019 2A	0
De Jonge 2019 2B	0
De Jonge 2019 2C	0
De Jonge 2019 2D	0
De Jonge 2019 2E	0
De Jonge 2019 2F	0
De Jonge 2019 3A	0
De Jonge 2019 3B	0
De Jonge 2019 3C	0
De Jonge 2019 3D	0
De Jonge 2019 3E	0
De Jonge 2019 3F	0
De Jonge 2019 4A	0
De Jonge 2019 4B	0
De Jonge 2019 4C	0
De Jonge 2019 4D	0
De Jonge 2019 4E	0
De Jonge 2019 4F	0
De Jonge 2019 5A	0
De Jonge 2019 5B	0
De Jonge 2019 5C	0
De Jonge 2019 5D	0
De Jonge 2019 5E	0
De Jonge 2019 5F	0
De_Jonge_2021 Ossekampen Control 13_1	0
De_Jonge_2021 Ossekampen Control 13_2	0
De_Jonge_2021 Ossekampen Control 13_3	0
De_Jonge_2021 Ossekampen + K 18_1	0
De_Jonge_2021 Ossekampen + K 18_2	0
De_Jonge_2021 Ossekampen + K 18_3	0
De_Jonge_2021 Ossekampen + NPK 19_1	0
De_Jonge_2021 Ossekampen + NPK 19_2	0
De_Jonge_2021 Ossekampen + NPK 19_3	0
De_Jonge_2021 Ossekampen + P 20_1	0
De_Jonge_2021 Ossekampen + P 20_2	0
De_Jonge_2021 Ossekampen + P 20_3	0
De_Jonge_2021 Ossekampen + CaO 21_1	0
De_Jonge_2021 Ossekampen + CaO 21_2	0
De_Jonge_2021 Ossekampen + CaO 21_3	0
De_Jonge_2021 Ossekampen + N 25_1	0
De_Jonge_2021 Ossekampen + N 25_2	0
De_Jonge_2021 Ossekampen + N 25_3	0
De_Jonge_2021 Craibstone pH plot 4.5	0
De_Jonge_2021 Craibstone pH plot 5	0
De_Jonge_2021 Craibstone pH plot 5.5	0
De_Jonge_2021 Craibstone pH plot 6	0
De_Jonge_2021 Craibstone pH plot 6.5	0
De_Jonge_2021 Craibstone pH plot 7	0
De_Jonge_2021 Craibstone pH plot 7.5	0
Dearing Crampton-Flood 2020 China-19	0
Dearing Crampton-Flood 2020 China-20	0
Dearing Crampton-Flood 2020 China-23	0
Dearing Crampton-Flood 2020 China-25	0
Dearing Crampton-Flood 2020 China-27	0
Dearing Crampton-Flood 2020 China-31	0
Dearing Crampton-Flood 2020 China-32	0
Dearing Crampton-Flood 2020 China-4	0
Dearing Crampton-Flood 2020 China-49	0
Dearing Crampton-Flood 2020 China-6	0
Dearing Crampton-Flood 2020 ChinaP609	0
Dearing Crampton-Flood 2020 ChinaP622	0
Dearing Crampton-Flood 2020 ChinaP635	0
Dearing Crampton-Flood 2020 ChinaP642	0
Dearing Crampton-Flood 2020 ChinaP801	0
Dearing Crampton-Flood 2020 ChinaP751	0
Dearing Crampton-Flood 2020 ChinaP782	0
Dearing Crampton-Flood 2020 ChinaP784	0
Dearing Crampton-Flood 2020 ChinaP810	0
Dearing Crampton-Flood 2020 China41	0
Dearing Crampton-Flood 2020 China50	0
Dearing Crampton-Flood 2020 China51	0
Dearing Crampton-Flood 2020 China55	0
Dearing Crampton-Flood 2020 China61	0
Dearing Crampton-Flood 2020 China65	0
Dearing Crampton-Flood 2020 IndiaETH1	0
Dearing Crampton-Flood 2020 IndiaETH2	0
Dearing Crampton-Flood 2020 IndiaETH5	0
Dearing Crampton-Flood 2020 IndiaETH6	0
Dearing Crampton-Flood 2020 IndiaETH7	0
Dearing Crampton-Flood 2020 IndiaETH8	0
Dearing Crampton-Flood 2020 IndiaG10	0
Dearing Crampton-Flood 2020 IndiaG14	0
Dearing Crampton-Flood 2020 IndiaG15	0
Dearing Crampton-Flood 2020 IndiaG17	0
Dearing Crampton-Flood 2020 IndiaG19	0
Dearing Crampton-Flood 2020 IndiaG20	0
Dearing Crampton-Flood 2020 IndiaG21	0
Dearing Crampton-Flood 2020 IndiaG22	0
Dearing Crampton-Flood 2020 IndiaG23	0
Dearing Crampton-Flood 2020 IndiaG24	0
Dearing Crampton-Flood 2020 IndiaG25	0
Dearing Crampton-Flood 2020 IndiaG26	0
Dearing Crampton-Flood 2020 IndiaG27	0
Dearing Crampton-Flood 2020 IndiaG28	0
Dearing Crampton-Flood 2020 IndiaG29	0
Dearing Crampton-Flood 2020 IndiaG30	0
Dearing Crampton-Flood 2020 IndiaG31	0
Dearing Crampton-Flood 2020 IndiaG32	0
Dearing Crampton-Flood 2020 IndiaG33	0
Dearing Crampton-Flood 2020 IndiaG34	0
Dearing Crampton-Flood 2020 IndiaG35	0
Dearing Crampton-Flood 2020 IndiaG36	0
Dearing Crampton-Flood 2020 IndiaG37	0
Dearing Crampton-Flood 2020 IndiaG38	0
Dearing Crampton-Flood 2020 IndiaG39	0
Dearing Crampton-Flood 2020 IndiaG40	0
Dearing Crampton-Flood 2020 IndiaG41	0
Dearing Crampton-Flood 2020 IndiaG42	0
Dearing Crampton-Flood 2020 IndiaG43	0
Dearing Crampton-Flood 2020 IndiaG44	0
Dearing Crampton-Flood 2020 IndiaG45	0
Dearing Crampton-Flood 2020 IndiaG46	0
Dearing Crampton-Flood 2020 IndiaG47	0
Dearing Crampton-Flood 2020 IndiaG48	0
Dearing Crampton-Flood 2020 IndiaX41	0
Dearing Crampton-Flood 2020 IndiaX44	0
Dearing Crampton-Flood 2020 IndiaX45	0
Dearing Crampton-Flood 2020 IndiaX46	0
Dearing Crampton-Flood 2020 IndiaX47	0
Dearing Crampton-Flood 2020 IndiaX48	0
Dearing Crampton-Flood 2020 New Zealand	0
Dearing Crampton-Flood 2020 Russia- Samoylov Island	0
Dearing Crampton-Flood 2020 Russia - Lena Delta	0
Dearing Crampton-Flood 2020 Russia - Turan	0
Dearing Crampton-Flood 2020 Russia - Lena Plateau	0
Ding_2018 1 core	0
Ding_2018 2 core	0
Ding_2018 3 core	0
Ding_2018 4 core	0
Ding_2018 5 core	0
Ding_2018 6 core	0
Ding_2018 7 core	0
Ding_2018 8 core	0
Ding_2018 9 core	0
Ding_2018 10 core	0
Ding_2018 11 core	0
Ding_2018 X1 core	0
Ding_2018 X2 core	0
Ding_2018 X3 core	0
Ding_2018 X4 core	0
Ding_2018 X5 core	0
Ding_2018 X6 core	0
Ding_2018 X7 core	0
Ding_2018 X8 core	0
Ding_2018 H3 core	0
Ding_2018 H4 core	0
Ding_2018 H5 core	0
Dugerdil_2021 MMNT1M01	0
Dugerdil_2021 MMNT1M02	0
Dugerdil_2021 MMNT2M01	0
Dugerdil_2021 MMNT2M02	0
Dugerdil_2021 MMNT2M03	0
Dugerdil_2021 MMNT2M04	0
Dugerdil_2021 MMNT2M05p	0
Dugerdil_2021 MMNT2M06	0
Dugerdil_2021 MMNT2M07	0
Dugerdil_2021 MMNT3M03	0
Dugerdil_2021 MMNT3M04	0
Dugerdil_2021 MMNT3S01	0
Dugerdil_2021 MMNT3S02	0
Dugerdil_2021 MMNT3S05	0
Dugerdil_2021 MMNT4M09	0
Dugerdil_2021 MMNT4M10	0
Dugerdil_2021 MMNT4S01	0
Dugerdil_2021 MMNT4S02	0
Dugerdil_2021 MMNT4S03	0
Dugerdil_2021 MMNT4S04	0
Dugerdil_2021 MMNT4S05	0
Dugerdil_2021 MMNT4S06	0
Dugerdil_2021 MMNT4S07	0
Dugerdil_2021 MMNT4S08	0
Dugerdil_2021 MMNT4S11	0
Dugerdil_2021 MMNT4S12	0
Dugerdil_2021 MMNT4S14	0
Dugerdil_2021 MMNT5M04	0
Dugerdil_2021 MMNT5M05	0
Dugerdil_2021 MRUT1M01	0
Dugerdil_2021 MRUT1M02	0
Dugerdil_2021 MRUT1M03	0
Dugerdil_2021 MRUT1M04	0
Dugerdil_2021 MRUT1M05	0
Dugerdil_2021 MRUT1M06	0
Dugerdil_2021 MRUT1M07	0
Dugerdil_2021 MRUT1M08	0
Dugerdil_2021 MRUT1M09	0
Dugerdil_2021 MRUT1M10	0
Dugerdil_2021 MRUT1M11	0
Dugerdil_2021 MRUT1M12	0
Guo_2020 S2.1	0
Guo_2020 S2.2	0
Guo_2020 S2.3	0
Guo_2020 S2.4	0
Guo_2020 S3.1	0
Guo_2020 S3.2	0
Guo_2020 S3.3	0
Guo_2020 S7.1	0
Guo_2020 S7.2	0
Guo_2020 S8.3	0
Guo_2020 S8.4	0
Guo_2020 S9.1	0
Guo_2020 S9.2	0
Guo_2020 S10.2	0
Guo_2020 S10.3	0
Guo_2020 S10.4	0
Guo_2020 S10.5	0
Guo_2020 S11.1	0
Guo_2020 S11.3	0
Guo_2020 S11.4	0
Guo_2020 S13.1	0
Guo_2020 S13.2	0
Guo_2020 S13.3	0
Guo_2020 S13.4	0
Guo_2020 S13.5	0
Guo_2020 S13.6	0
Guo_2020 S14.1	0
Guo_2020 S14.2	0
Guo_2020 S14.3	0
Guo_2020 S14.4	0
Guo_2020 S14.5	0
Guo_2020 S1.1	0
Guo_2020 S1.2	0
Guo_2020 S1.3	0
Guo_2020 S1.4	0
Guo_2020 S1.5	0
Guo_2020 S7.6	0
Guo_2020 S7.7	0
Guo_2020 S8.5	0
Guo_2020 S8.6	0
Guo_2020 S9.3	0
Guo_2020 S9.4	0
Guo_2020 S9.5	0
Guo_2020 S9.6	0
Guo_2020 S11.8	0
Guo_2020 S4.1	0
Guo_2020 S4.2	0
Guo_2020 S4.3	0
Guo_2020 S4.4	0
Guo_2020 S5.3	0
Guo_2020 S5.4	0
Guo_2020 S5.5	0
Guo_2020 S6.1	0
Guo_2020 S6.2	0
Guo_2020 S6.3	0
Guo_2020 S6.4	0
Guo_2020 S6.5	0
Guo_2020 S7.3	0
Guo_2020 S7.4	0
Guo_2020 S7.5	0
Guo_2020 S8.1	0
Guo_2020 S8.2	0
Guo_2020 S10.1	0
Guo_2020 S11.5	0
Guo_2020 S11.6	0
Guo_2020 S11.7	0
Guo_2020 S12.1	0
Guo_2020 S12.3	0
Guo_2020 S12.4	0
Guo_2020 S3.4	0
Guo_2020 S6.6	0
Guo_2020 S9.7	0
Guo_2020 S10.6	0
Guo_2020 S12.5	0
Guo_2021 MS11_soil	0
Guo_2021 MS21_soil	0
Guo_2021 MS31_soil	0
Guo_2021 MS41_soil	0
Guo_2021 MS51_soil	0
Guo_2021 MS61_soil	0
Guo_2021 MS71_soil	0
Guo_2021 MS81_soil	0
Guo_2021 TS11_soil	0
Guo_2021 TS21_soil	0
Guo_2021 TS31_soil	0
Guo_2021 TS41_soil	0
Guo_2021 TS51_soil	0
Guo_2021 TS61_soil	0
Guo_2021 TS71_soil	0
Guo_2021 TS81_soil	0
Guo_2021 TS91_soil	0
Guo_2021 TS101_soil	0
Guo_2021 TS111_soil	0
Guo_2021 TS121_soil	0
Guo_2021 TS131_soil	0
Guo_2021 TS141_soil	0
Guo_2021 TS151_soil	0
Guo_2021 TS161_soil	0
Guo_2021 DS11_soil	0
Guo_2021 DS21_soil	0
Guo_2021 DS31_soil	0
Guo_2021 DS41_soil	0
Guo_2021 DS51_soil	0
Guo_2021 DS71_soil	0
Guo_2021 DS81_soil	0
Guo_2021 DS91_soil	0
Kirkels_2019 TU4-O	0
Kirkels_2019 TU3-O	0
Kirkels_2019 UC-O	0
Kirkels_2019 SP2-O	0
Kirkels_2019 SP1-O	0
Kirkels_2019 TU8-O	0
Kirkels_2019 TU7-O	0
Kirkels_2019 TU5-O	0
Kirkels_2019 TP4-O	0
Kirkels_2019 TP3-O	0
Kirkels_2019 Way-O	0
Kirkels_2019 TU2-O	0
Kirkels_2019 TU1-O	0
Kirkels_2019 TC-O	0
Kirkels_2019 TU4-M	0
Kirkels_2019 TU3-M	0
Kirkels_2019 VC-M	0
Kirkels_2019 SP2-M	0
Kirkels_2019 SP1-M	0
Kirkels_2019 TU8-M	0
Kirkels_2019 TU7-M	0
Kirkels_2019 TU5-M	0
Kirkels_2019 TP4-M	0
Kirkels_2019 TP3-M	0
Kirkels_2019 Way-M	0
Kirkels_2019 TU2-M	0
Kirkels_2019 TU1-M	0
Kirkels_2019 TC-M	0
IMS1	0
IMS2	0
IMS3	0
IMS4	0
IMS5	0
IMS6	0
IMS7	0
IMS8	0
IMS9	0
IMS10	0
IMS11	0
Li_2018 CB1-1	0
Li_2018 CB1-2	0
Li_2018 CB1-3	0
Li_2018 CB2-1	0
Li_2018 CB2-2	0
Li_2018 CB2-3	0
Li_2018 CB3-1	0
Li_2018 CB3-2	0
Li_2018 CB3-3	0
Li_2018 CB4-1	0
Li_2018 CB4-2	0
Li_2018 CB4-3	0
Li_2018 CB5-1	0
Li_2018 CB5-2	0
Li_2018 CB5-3	0
Li_2018 CB6-1	0
Li_2018 CB6-2	0
Li_2018 CB6-3	0
Li_2018 CB7-1	0
Li_2018 CB7-2	0
Li_2018 CB7-3	0
Li_2018 CB8-1	0
Li_2018 CB9-1	0
Li_2018 CB9-2	0
Li_2018 CB10-1	0
Li_2018 CB10-2	0
Li_2018 CB11-1	0
Li_2018 CB11-2	0
Li_2018 CB12-1	0
Miller_2018 DRM_BPS_333	0
Miller_2018 DRM_BPS_331	0
Miller_2018 DRM_BPS_338	0
Miller_2018 DRM_BPS_341	0
Miller_2018 DRM_BPS_348	0
Miller_2018 DRM_BPS_336	0
Miller_2018 DRM_BPS_340	0
Miller_2018 DRM_BPS_343	0
Miller_2018 DRM_BPS_345	0
Miller_2018 DRM_BPS_347	0
Naafs_2017_Soils_Australia-17	0
Naafs_2017_Soils_Australia-4	0
Naafs_2017_Soils_Brazil-1	0
Naafs_2017_Soils_Brazil-12	0
Naafs_2017_Soils_Brazil-13	0
Naafs_2017_Soils_Brazil-14	0
Naafs_2017_Soils_Brazil-28	0
Naafs_2017_Soils_Brazil-3	0
Naafs_2017_Soils_Brazil-6	0
Naafs_2017_Soils_Cameroon-1	0
Naafs_2017_Soils_Canada-14	0
Naafs_2017_Soils_Canada-17	0
Naafs_2017_Soils_Canada-24	0
Naafs_2017_Soils_China-19	0
Naafs_2017_Soils_China-20	0
Naafs_2017_Soils_China-23	0
Naafs_2017_Soils_China-25	0
Naafs_2017_Soils_China-27	0
Naafs_2017_Soils_China-31	0
Naafs_2017_Soils_China-32	0
Naafs_2017_Soils_China-4	0
Naafs_2017_Soils_China-49	0
Naafs_2017_Soils_China-6	0
Naafs_2017_Soils_China-MG1180	0
Naafs_2017_Soils_China-MG1220	0
Naafs_2017_Soils_China-MG1515	0
Naafs_2017_Soils_China-MG1645	0
Naafs_2017_Soils_China-MG1740	0
Naafs_2017_Soils_China-MG1800	0
Naafs_2017_Soils_China-MG1850	0
Naafs_2017_Soils_China-MG1915	0
Naafs_2017_Soils_China-MG1973	0
Naafs_2017_Soils_China-MG2005	0
Naafs_2017_Soils_China-MG2115	0
Naafs_2017_Soils_China-MG2160	0
Naafs_2017_Soils_China-MG2220	0
Naafs_2017_Soils_China-MG2300	0
Naafs_2017_Soils_China-MG2350	0
Naafs_2017_Soils_China-MG2420	0
Naafs_2017_Soils_China-MG2470	0
Naafs_2017_Soils_China-MG2540	0
Naafs_2017_Soils_China-MG2620	0
Naafs_2017_Soils_China-MG2742	0
Naafs_2017_Soils_China-MG2764	0
Naafs_2017_Soils_China-MG2808	0
Naafs_2017_Soils_China-MG2920	0
Naafs_2017_Soils_China-MG2960	0
Naafs_2017_Soils_China-MG3049	0
Naafs_2017_Soils_China-MG3065	0
Naafs_2017_Soils_China-MG3119	0
Naafs_2017_Soils_China-MG3140	0
Naafs_2017_Soils_China-MG3145	0
Naafs_2017_Soils_China-MG3188	0
Naafs_2017_Soils_China-MG3209	0
Naafs_2017_Soils_China-MG3676	0
Naafs_2017_Soils_China-MG3769	0
Naafs_2017_Soils_China-MG3819	0
Naafs_2017_Soils_Colombia-12	0
Naafs_2017_Soils_Colombia-7	0
Naafs_2017_Soils_Colombia-9	0
Naafs_2017_Soils_Ecuador-19	0
Naafs_2017_Soils_Ecuador-6	0
Naafs_2017_Soils_Ecuador-7	0
Naafs_2017_Soils_Egypt-1	0
Naafs_2017_Soils_Egypt-2	0
Naafs_2017_Soils_Finland-2	0
Naafs_2017_Soils_France-15	0
Naafs_2017_Soils_France-TESO10	0
Naafs_2017_Soils_France-TESO11	0
Naafs_2017_Soils_France-TESO12	0
Naafs_2017_Soils_France-TESO13	0
Naafs_2017_Soils_France-TESO14	0
Naafs_2017_Soils_France-TESO14B	0
Naafs_2017_Soils_France-TESO15	0
Naafs_2017_Soils_France-TESO16	0
Naafs_2017_Soils_France-TESO18	0
Naafs_2017_Soils_France-TESO19	0
Naafs_2017_Soils_France-TESO22B	0
Naafs_2017_Soils_France-TESO24	0
