Site,MAT,Precipition (mm y-1) Karger 2017,PH,13C bulk,GDGT-0,GDGT-1',isoGDGT-1,isoGDGT-2',isoGDGT-2,isoGDGT-3',isoGDGT-3,isoGDGT-4,Crenarchaeol,Cren',brGDGT Ia,brGDGT Ib,brGDGT Ic,brGDGT IIa,brGDGT IIa',brGDGT IIb,brGDGT IIb',brGDGT IIc,brGDGT IIc',brGDGT IIIa,brGDGT IIIa',brGDGT IIIb,brGDGT IIIb',brGDGT IIIc,brGDGT IIIc'
site_1,19.1,1665,4.3,-27.14,0.0067,0.0005,0.0029,0.0014,0.0029,0.0003,0.001,0.0061,0.0083,0.0011,0.8106,0.0088,0.006,0.1136,0.0261,0,0,0,0,0.0032,0.0008,0,0,0,0
site_2,19.1,1665,4.5,-26.93,0.0057,0.0005,0.003,0.0031,0.004,0.0006,0.0016,0.0127,0.0208,0.0027,0.785,0.013,0.0082,0.0942,0.0414,0,0,0,0,0.0024,0.0009,0,0,0,0
site_3,19.1,1665,4.9,-25.88,0.0048,0.0004,0.0032,0.0027,0.005,0.0008,0.0019,0.0079,0.0128,0.0035,0.8246,0.0075,0.0074,0.0857,0.0275,0,0,0,0,0.0035,0.0009,0,0,0,0
site_4,19.2,1647,4.6,-27.05,0.0258,0.0018,0.0181,0.0026,0.0204,0.0009,0.0036,0.013,0.0163,0.0021,0.7444,0.0083,0.0049,0.0834,0.046,0.0012,0.0008,0,0,0.004,0.0025,0,0,0,0
site_5,19.2,1647,4.6,-27.36,0.0038,0.0008,0.0024,0.0016,0.003,0.0009,0.0011,0.0086,0.0154,0.0011,0.7977,0.0183,0.0056,0.0827,0.0476,0.0013,0.0021,0,0,0.0036,0.0025,0,0,0,0
site_6,19.2,1647,4.6,-27.26,0.0079,0.0008,0.0038,0.0019,0.0073,0.0002,0.0012,0.0096,0.0187,0.0017,0.8185,0.0108,0.0055,0.0699,0.0372,0,0,0,0,0.0024,0.0025,0,0,0,0
site_7,19.2,1647,5.8,-28.34,0.0084,0.0011,0.0009,0.0014,0.0009,0.0003,0.0003,0.0071,0.01,0.0009,0.829,0.0187,0.0056,0.0726,0.0348,0.0029,0,0,0,0.0026,0.0023,0,0,0,0
site_8,20,1299,4,-27.7,0.0405,0.009,0.0062,0.0083,0.0128,0.0018,0.0063,0.0065,0.0098,0.0042,0.7211,0.0103,0.0087,0.1121,0.0423,0,0,0,0,0,0,0,0,0,0
site_9,20,1299,4.1,-27.24,0.0186,0.0047,0.0069,0.0042,0.0098,0.0011,0.0055,0.0126,0.0151,0.0062,0.794,0.0065,0.0039,0.0687,0.0283,0.0006,0.0005,0,0,0.0112,0.0014,0,0,0,0
site_10,20,1299,4.1,-27.45,0.0164,0.0048,0.0065,0.0079,0.0111,0.0021,0.0051,0.0167,0.025,0.0069,0.7635,0.0073,0.0026,0.0856,0.0275,0,0,0.0079,0.0031,0,0,0,0,0,0
site_11,20,1299,4.2,-27.13,0.0297,0.0045,0.0049,0.0062,0.0168,0.0025,0.0076,0.017,0.0239,0.0073,0.7515,0.01,0.0054,0.0722,0.0266,0,0,0,0,0.01,0.0039,0,0,0,0
site_12,20,1299,4,-27.37,0.011,0.0031,0.0041,0.0045,0.0066,0.0013,0.0028,0.0112,0.0162,0.0056,0.8139,0.0053,0.0045,0.0738,0.0257,0,0,0,0,0.0071,0.0034,0,0,0,0
site_13,21.4,1365,6.3,-27.91,0.0111,0.0013,0.0053,0.0068,0.002,0.0031,0.0049,0.0434,0.0656,0.0028,0.3721,0.1617,0.0481,0.0417,0.1244,0.0158,0.0648,0.0008,0.0032,0.0092,0.0117,0,0,0,0
site_14,21.4,1365,5.6,-26.26,0.017,0.002,0.0053,0.0105,0.0056,0.0047,0.0055,0.0528,0.0672,0.0136,0.4093,0.1634,0.0574,0.0374,0.0707,0.0056,0.0478,0.0013,0.0021,0.0064,0.0145,0,0,0,0
site_15,21.4,1365,5.8,-26.09,0.0146,0.0046,0.0057,0.0082,0.0044,0.005,0.0045,0.0542,0.086,0.0128,0.3805,0.1582,0.0497,0.0496,0.0847,0.0253,0.032,0.0017,0.0021,0.005,0.0113,0,0,0,0
