Site,brGDGT Ia,brGDGT Ib,brGDGT Ic,brGDGT IIa,brGDGT IIa',brGDGT IIb,brGDGT IIb',brGDGT IIc,brGDGT IIc',brGDGT IIIa,brGDGT IIIa',brGDGT IIIb,brGDGT IIIb',brGDGT IIIc,brGDGT IIIc'
site_1,0.49,0.03,0.01,0.3,0.07,0.01,0.01,0,0,0.06,0.02,0,0,0,0
site_2,0.54,0.03,0.01,0.31,0.04,0.01,0,0,0,0.05,0.01,0,0,0,0
site_3,0.41,0.02,0.02,0.36,0.05,0.01,0,0.01,0,0.09,0.02,0,0,0,0
site_4,0.68,0.06,0.02,0.08,0.09,0.01,0.02,0,0,0.01,0.01,0,0,0,0
site_5,0.58,0.04,0.02,0.18,0.08,0.01,0.01,0,0,0.04,0.03,0,0,0,0
site_6,0.61,0.04,0.01,0.21,0.06,0.01,0.01,0,0,0.03,0.02,0,0,0,0
site_7,0.6,0.04,0.02,0.21,0.06,0.01,0.01,0,0,0.03,0.02,0,0,0,0
site_8,0.61,0.04,0.01,0.21,0.06,0.01,0.01,0,0,0.03,0.02,0,0,0,0
site_9,0.61,0.04,0.01,0.2,0.06,0.01,0.01,0,0,0.03,0.02,0,0,0,0
site_10,0.69,0.04,0.01,0.12,0.07,0.01,0.01,0,0,0.02,0.01,0,0,0,0
site_11,0.71,0.07,0.02,0.07,0.07,0.01,0.02,0,0,0.01,0.01,0,0,0,0
site_12,0.68,0.05,0.02,0.14,0.06,0.01,0.01,0,0,0.02,0.01,0,0,0,0
site_13,0.5,0.1,0.03,0.09,0.15,0.02,0.06,0,0.01,0.01,0.03,0,0,0,0
site_14,0.66,0.05,0.02,0.13,0.07,0.01,0.01,0,0,0.02,0.01,0,0,0,0
site_15,0.69,0.06,0.02,0.12,0.07,0.01,0.01,0,0,0.01,0.01,0,0,0,0
site_16,0.69,0.06,0.02,0.11,0.07,0.01,0.01,0,0,0.01,0.01,0,0,0,0
site_17,0.67,0.07,0.02,0.1,0.07,0.01,0.02,0,0,0.01,0.01,0,0,0,0
site_18,0.8,0.05,0.02,0.07,0.04,0.01,0,0,0,0,0,0,0,0,0
site_19,0.71,0.06,0.02,0.1,0.06,0.01,0.01,0,0,0.01,0.01,0,0,0,0
site_20,0.69,0.06,0.02,0.11,0.06,0.01,0.01,0,0,0.01,0.01,0,0,0,0
site_21,0.8,0.04,0.02,0.07,0.04,0.01,0.01,0,0,0.01,0.01,0,0,0,0
site_22,0.7,0.06,0.02,0.1,0.06,0.01,0.01,0,0,0.01,0.01,0,0,0,0
site_23,0.71,0.05,0.02,0.09,0.07,0.01,0.01,0,0,0.01,0.01,0,0,0,0
site_24,0.72,0.06,0.02,0.09,0.07,0.01,0.01,0,0,0.01,0,0,0,0,0
site_25,0.7,0.06,0.02,0.1,0.07,0.01,0.01,0,0,0.01,0.01,0,0,0,0
site_26,0.7,0.06,0.02,0.09,0.07,0.01,0.02,0,0,0.01,0.01,0,0,0,0
site_27,0.7,0.07,0.02,0.09,0.07,0.01,0.02,0,0,0.01,0.01,0,0,0,0
site_28,0.68,0.07,0.02,0.09,0.08,0.01,0.02,0,0,0.01,0.01,0,0,0,0
site_29,0.72,0.06,0.02,0.09,0.06,0.01,0.01,0,0,0.01,0.01,0,0,0,0
site_30,0.6,0.03,0.01,0.23,0.04,0.01,0,0,0,0.05,0.02,0,0,0,0
site_31,0.64,0.03,0.01,0.21,0.04,0.01,0,0,0,0.04,0.02,0,0,0,0
site_32,0.7,0.04,0.02,0.13,0.05,0.01,0.01,0,0,0.02,0.01,0,0,0,0
site_33,0.67,0.06,0.02,0.11,0.07,0.01,0.02,0,0,0.02,0.02,0,0,0,0
site_34,0.64,0.06,0.02,0.11,0.1,0.01,0.02,0,0,0.02,0.02,0,0,0,0
site_35,0.66,0.06,0.02,0.11,0.08,0.01,0.02,0,0,0.01,0.02,0,0,0,0
site_36,0.67,0.05,0.02,0.11,0.09,0.01,0.02,0,0,0.01,0.02,0,0,0,0
site_37,0.69,0.06,0.02,0.1,0.07,0.01,0.02,0,0,0.01,0.01,0,0,0,0
site_38,0.74,0.04,0.01,0.08,0.08,0.01,0.01,0,0,0.01,0.01,0,0,0,0
site_39,0.64,0.09,0.03,0.09,0.09,0.01,0.02,0,0,0.01,0.02,0,0,0,0
site_40,0.6,0.03,0.01,0.2,0.05,0.01,0.01,0,0.01,0.05,0.02,0,0,0,0
site_41,0.45,0.03,0.01,0.2,0.11,0.02,0.02,0,0,0.08,0.1,0,0,0,0
site_42,0.67,0.04,0.01,0.08,0.13,0.01,0.02,0,0,0.01,0.03,0,0,0,0
site_43,0.6,0.09,0.04,0.07,0.1,0.02,0.03,0.01,0.01,0.01,0.02,0,0,0,0
site_44,0.61,0.06,0.02,0.1,0.11,0.02,0.03,0.01,0.01,0.01,0.03,0,0,0,0
site_45,0.62,0.07,0.02,0.09,0.11,0.01,0.03,0,0,0.01,0.02,0,0,0,0
site_46,0.62,0.07,0.02,0.09,0.11,0.02,0.03,0,0.01,0.01,0.02,0,0,0,0
site_47,0.67,0.06,0.02,0.09,0.09,0.01,0.03,0,0,0.01,0.02,0,0,0,0
site_48,0.79,0.03,0.02,0.11,0.04,0.01,0,0,0,0,0,0,0,0,0
site_49,0.65,0.06,0.02,0.09,0.1,0.02,0.03,0.01,0,0,0.02,0,0,0,0
site_50,0.63,0.06,0.02,0.09,0.11,0.01,0.03,0.01,0,0.01,0.02,0,0,0,0
site_51,0.63,0.06,0.02,0.09,0.12,0.01,0.03,0.01,0,0,0.02,0,0,0,0
site_52,0.63,0.06,0.02,0.09,0.11,0.01,0.03,0,0,0.01,0.02,0,0,0,0
site_53,0.63,0.06,0.02,0.1,0.11,0.01,0.03,0,0,0.01,0.02,0,0,0,0
site_54,0.63,0.06,0.02,0.1,0.12,0.01,0.03,0,0,0.01,0.02,0,0,0,0
site_55,0.6,0.07,0.02,0.08,0.14,0.01,0.04,0,0,0.01,0.02,0,0,0,0
site_56,16.546,1.435,0.695,5.038,3.608,2.320,2.138,0.328,0.218,4.153,1.685,0.415,0.448,0.159,0.122
site_57,25.680,2.401,1.177,10.099,6.536,3.333,3.917,0.561,0.330,7.930,2.843,0.868,0.643,0.302,0.195
site_58,21.635,2.246,1.185,6.521,4.356,3.115,2.587,0.407,0.397,6.878,2.696,0.339,0.572,0.196,0.209
