Sample	fIa	fIb	fIc	fIIa	fIIa'	fIIb	fIIb'	fIIc	fIIc'	fIIIa	fIIIa'	fIIIb	fIIIb'	fIIIc	fIIIc'	MAF	MAT
Kusch_2019_permafrost AG-0101	0.16630777264376	0.00490207413887146	0.00031399797849692	0.416461589095148	0.016319413780427	0.00300994620881434	0.000458815961882217	0.000348240781923514	5.43236708338027e-05	0.379432853253775	0.0116307445904092	0	0.000760227895658866	0	0	3.52500000037253	-14.6416666029642
Kusch_2019_permafrost AG-0102	0.126142037436828	0.00377853424305251	0.000201676274975785	0.386299876226994	0.032408297328462	0.00231341845211942	0.00139812423627431	0.000294565897317441	0	0.427995928733621	0.0172199672441158	0.00181006143640283	0.000112058867410993	2.54536224261503e-05	0	3.52500000037253	-14.6416666029642
Kusch_2019_permafrost AG-0103	0.161834014130498	0.000937734418501962	0	0.408423175374814	0.0179959315545491	0.00355354039853822	0	0.000993066848689595	0	0.395259556303115	0.0110029809712935	0	0	0	0	3.52500000037253	-14.6416666029642
Kusch_2019_permafrost AG-0104	0.283460248480053	0.00704010090851767	0	0.394952778797977	0.0696572996557856	0.00131156932680868	0.000635488046025209	0	0	0.221079321561336	0.0218631932234971	0	0	0	0	3.52500000037253	-14.6416666029642
Kusch_2019_permafrost AG-0105	0.168037659663881	0.0145016809175297	0.00147138911585891	0.445036420778972	0.0377790502525591	0.00888321589855924	0.000462328159789002	0.00212387335998329	0	0.288524148316901	0.0331802335359666	0	0	0	0	3.52500000037253	-14.6416666029642
Kusch_2019_permafrost AG-0106	0.142454633155938	0.00306511305187264	0.000703047203545168	0.388630951424619	0.0190072696036065	0.00250291042658836	0.00200643368080803	0.00158193048052757	0.00109178122763349	0.420755462867711	0.01784032317964	0.000189092957909804	0.00017105073960067	0	0	3.52500000037253	-14.6416666029642
Kusch_2019_permafrost BK-8	0.312157235998252	0.00142669230866051	0.000637474328909649	0.431266683316191	0.00349912962014548	0.00412094374456565	0.000960883050075294	0.00378458814194512	6.63928055328657e-05	0.237186870609593	0.00461299075248791	7.32972954021809e-05	7.46770624194724e-05	7.16574083734328e-05	6.04835574465149e-05	5.37499997019768	-15.0999999741713
Kusch_2019_permafrost KUB-C	0.102337669604523	0.0036602913630886	0.000350487282414703	0.299682499175842	0.07777785054503	0.00284673711640357	0.0022894820977062	0.000865775322385447	0	0.427698128134585	0.0805355763920436	0.000694590325387334	0.00118422788041764	7.66847601726125e-05	0	5.42500011622906	-13.2416666199764
Kusch_2019_permafrost KUB-R	0.184525059598994	0.00602502380243761	0.000499190612734994	0.319241078646723	0.0894174523349184	0.00321366133105258	0.00214808034823236	0.000732409463515685	0	0.346772367902576	0.0463374005910841	0.000384875583061651	0.000703399784669212	0	0	5.42500011622906	-13.2416666199764
Kusch_2019_permafrost KUU-C	0.115812122365329	0.00311870488742539	0.000296253531262989	0.375780305684466	0.0414326269664152	0.00267924811249075	0.00095910407157569	0.0010818997719849	3.49176191700109e-05	0.428617016764353	0.0288305424608605	0.00064500503506464	0.000653574566839567	4.30510507124244e-05	1.56271120500384e-05	5.40000014007092	-13.224999849995
Kusch_2019_permafrost KUU-R	0.177640847216925	0.00601540075662152	0.000394341754514498	0.34673708403605	0.0872961018546601	0.00521430050104443	0.00342218580478196	0.000891227480546687	0.00011201815445222	0.311720276050914	0.0594778937305329	0.000468782182256283	0.000556614428943437	3.45127241461764e-05	1.84133236107321e-05	5.40000014007092	-13.224999849995
Kusch_2019_permafrost L14-02	0.119779146572489	0.00816018183487838	0	0.34037215665041	0.00765257301830193	0.00693916182859477	0.00245098574595554	0	0	0.495101709074472	0.0195440852748973	0	0	0	0	2.7666666507721	-14.8083332081636
Kusch_2019_permafrost L14-03	0.182381965579755	0.0162624949805306	0.000828700366432039	0.361610137982382	0.080143608490184	0.0157939382161923	0.0073194158816114	0.000927146682540787	0.000845281847104082	0.259737048882767	0.072114615764729	0.00120483529677526	0.000830810028996417	0	0	2.7666666507721	-14.8083332081636
Kusch_2019_permafrost L14-04	0.175133640751434	0.00741303691105373	0	0.41228477619731	0.0160640933959562	0.00733310398474142	0.00224846992456317	0.00589432530520222	0	0.354574928488522	0.0190536250412186	0	0	0	0	2.7666666507721	-14.8249999086062
Kusch_2019_permafrost L14-05	0.173717285363362	0.00475960809838868	0.000707041656633299	0.470019620437685	0.00415588351389061	0.00600011315564081	0.000962937077787473	0.00360121407119586	0	0.330059374697896	0.00601692192752003	0	0	0	0	2.7666666507721	-14.8249999086062
Kusch_2019_permafrost SA-C	0.107065735038037	0.0091340766641637	0.000315762375797871	0.300636378460148	0.129884013439721	0.00868723491311635	0.00826241212077323	0.000346634104692624	0	0.308163311675425	0.122019683504623	0.00139993513913726	0.00206784275477732	0.000499727110156743	0.00151725269942958	5.42500007152557	-12.9166667064031
Kusch_2019_permafrost SA-R	0.116565740177195	0.0214797527521762	0.00173916525152917	0.165012373964863	0.175667211458475	0.0169805003197365	0.0284727645024624	0.000205199228376426	0.00184157022764631	0.272107430197767	0.188515658477607	0.00233274249158532	0.00533028191522582	0.000307911514486188	0.00344169752086816	5.42500007152557	-12.9166667064031
Cao_2020 S1	0.0866628341477436	0.04699626329405	0.00804828973843058	0.12819775797643	0.25639551595286	0.0413912043690716	0.105921241736131	0.00143719459614832	0.00258695027306697	0.143432020695602	0.160678355849382	0.00488646162690428	0.0133659097441794	0	0	12.1	4.3
Cao_2020 S2	0.0947126436781609	0.0395402298850575	0.00873563218390805	0.0942528735632184	0.277701149425287	0.0409195402298851	0.095632183908046	0	0.00505747126436782	0.125057471264368	0.19448275862069	0.00781609195402299	0.0128735632183908	0	0.0032183908045977	12.1	4.3
Cao_2020 S3	0.156538648517258	0.0393777345649003	0.00631988332523092	0.233349538162372	0.227029654837141	0.0213903743315508	0.051045211473019	0	0.00145843461351483	0.122994652406417	0.136120563928051	0	0.00437530384054448	0	0	12.1	4.3
Cao_2020 S4	0.124252491694352	0.0428571428571429	0.00631229235880399	0.164784053156146	0.268770764119601	0.0282392026578073	0.0843853820598007	0	0.00232558139534884	0.120265780730897	0.143521594684385	0.00365448504983389	0.0106312292358804	0	0	12.1	4.3
Cao_2020 S5	0.114534494306765	0.0401875418620228	0.0100468854655057	0.141326188881447	0.278633623576691	0.0348292029470864	0.0743469524447421	0.00334896182183523	0.00334896182183523	0.110515740120563	0.170797052913597	0.00535833891493637	0.0127260549229739	0	0	12.1	4.3
Chen_2021 TW-1	0.105703424485219	0.0728795780263265	0.00653897158841363	0.0403030483930802	0.287732872243803	0.0246506649837752	0.07640064472938	0.00232392534443132	0.00305414959256685	0.090867613008865	0.258713654020817	0.00615307205874201	0.0246783815245803	0	0	13.2000000141561	13.2000000141561
Chen_2021 TW-2	0.130425120164887	0.067671908556684	0.003054272835262	0.0354043912301266	0.306446030035322	0.0217122808121652	0.0780914433160002	0.000721776001636288	0.0017326557423476	0.0800797690316795	0.258210939528151	0.00231086322049765	0.0141385495252405	0	0	14.0727271491831	12.8833332198361
Chen_2021 TW-3	0.13903747969682	0.0407836891353375	6.09231378462148e-05	0.0841149082907325	0.326487095717865	0.015675378312741	0.0555013412156269	0	0	0.123834618340113	0.202736246692291	0.00309982727565145	0.0086684921849757	0	0	13.5909090692347	12.4083333114783
Chen_2021 TW-4	0.0887790299121894	0.0606640382725139	0.00338856104487735	0.0176917887467493	0.341908257679348	0.010951843805199	0.0436142354020754	0.00100015596267052	0.0011905755022542	0.0494093367234057	0.369062084023982	0.00377121364346933	0.00856887928126598	0	0	13.7499999403954	11.216666618983
Chen_2021 TW-5	0.0700171291474656	0.0224682109175826	0.00774474880805432	0.0184822295528337	0.311275653147284	0.0107717946839362	0.0224830493777585	0	0	0.0613301381182421	0.437332081956525	0.023496701688524	0.0145982626017942	0	0	13.3099999904633	10.7833333214124
Chen_2021 TW-6	0.155250669661188	0.0610106017000736	0.00478028438724425	0.118363249326187	0.213937564724688	0.0214137794111903	0.0933112004505315	0.000930405370699643	0.00236000013533169	0.130780854625776	0.175945653253758	0.00402334963772629	0.016598739385305	0.000746477300723317	0.000547170629578402	14.566666841507	10.2166667977969
Chen_2021 TW-7	0.088552584111545	0.0615056305749634	0.00867067525881082	0.0177473282771924	0.307583895935069	0.020059087643867	0.0602372130152683	0.0078492539369851	0.0103335012636847	0.0433681008760074	0.352430765541533	0.00388203085641324	0.0177799327086605	0	0	13.8666665818956	9.94999995206793
Chen_2021 TW-8	0.0980311451860938	0.044089454710742	0.00763598937089581	0.0752413961821501	0.273215458427165	0.0296532126887223	0.0789288673210054	0.00387613918587084	0.00865991161070882	0.126339555196984	0.231489420837348	0.00421969839168934	0.0186197508906242	0	0	13.9888887405396	9.69999990860621
Chen_2021 TW-9	0.138892695702672	0.0412965569810115	0.00586112719213714	0.149969137688577	0.27676062525922	0.0145043823759026	0.0516357025053977	0.00373421312315382	0.00467219596826479	0.150363278514009	0.150654725766577	0.0040831543126419	0.00757220461043519	0	0	13.1777777141995	9.15833328167597
Chen_2021 TW-10	0.097449334144976	0.0594738218300664	0.00318620859410255	0.0493698649891245	0.28603484234504	0.0231314019939392	0.140225914579442	0.00140891002990619	0.00375308768848833	0.114510405836534	0.190473447640138	0.00347544953553623	0.0264207925284672	0	0.00108651826423942	13.611111164093	9.33333338300387
Chen_2021 TW-11	0.100100680515948	0.0595212366609612	0.0157466736648536	0.051730356945186	0.258288069773028	0.038423510293585	0.0988687184808613	0.0169959554596024	0.0100529909342354	0.0786430043608143	0.21469950593503	0.0165486538405061	0.0318284470275151	0.00593239420074204	0.00261980190713145	12.8666664229499	8.88333314657211
Chen_2021 TW-12	0.0903471021670625	0.0259505609733915	0.0019856589606	0.035972468674879	0.265725159379765	0.0247864883861022	0.0789955868748628	0.000926996019168573	0.0015255858131555	0.0797924381327195	0.374633492183513	0.00406493081968748	0.0132553581016826	0.000831480419492336	0.00120669309391771	12.9333333174388	8.66666664679845
