Sample	Ia	Ib	Ic	IIa	IIa'	IIb	IIb'	IIc	IIc'	IIIa	IIIa'	IIIb	IIIb'	IIIc	IIIc'
EDCF1	50.688168275192	4.88378498987893	2.008677681534	3.82082756250245	8.22959609994327	0.825806027760837	4.85035597124394	0.121392751939984	2.32972260094975	10.2135690879304	11.1975124712605	0	0	0.284829580126404	0.545756899737495
EDCF2	59.6801162438978	4.44033361619935	1.80804641369687	3.36382639094247	10.5394828032512	0.309066202313279	4.32541528298183	0.0790266433407879	0.578842264747371	0.710221945837499	12.1747459320469	0.298742353698841	1.17489996129825	0.122418594018965	0.394815351728585
EDCF3	54.7348995296189	4.19820064235	1.80386889538259	3.16485621508892	10.1848455402489	1.05891232527651	4.224191176123	0.119637225745004	1.16979316425169	3.98321678969698	15.3575784962175	0	0	0	0
EDCF4	60.6887740252618	4.70116303996145	1.59640642718105	3.25381406063542	10.7587368554243	0.671267039060779	3.55224567711073	0.0734103652004849	1.02804216147483	0.657282145146202	13.0188582035429	0	0	0	0
EDCF5	22.6999912237027	6.2650426856366	3.00519173443726	2.08438306156361	6.82768272642411	2.10575817210056	24.1359212521898	0.579307537694308	11.9585113751241	1.66533630021785	10.753248882654	1.34097010419177	3.32962707872466	0.633016375221036	2.61601149011765
EDCF6	39.0915477181071	5.14656166647804	3.03693010178429	0.880103928825279	13.8002473645029	1.33395594811239	11.4053603736755	0.184356097879505	2.9052471747275	0.471107023522134	21.7445826023853	0	0	0	0
EDCF7	48.1435198739823	4.09487308316333	2.0327420005097	3.85900861228257	13.6033347039695	0.372950869741693	5.3602781095678	0.102229580504171	0.720997909701533	6.81375617501779	14.8963090815596	0	0	0	0
EDCF8	43.9525386383906	3.18834193928014	2.63183726887899	2.27012444492984	8.13852438833341	0.600699582017624	6.63039708530935	0.170610018691567	2.13551335527013	0.307142749295661	19.8241206097704	0.308777134634962	8.20151826898244	0.251423652221818	1.38843086399312
EDCF9	42.0786475949223	3.43968494234185	2.03560198910967	2.21469399653498	12.2952376222686	0.70852173524503	7.10526375998468	0.196244841532442	2.40615434805166	2.59490281563536	18.0918928936394	0.326792107785206	4.20503511385	0.611519733026803	1.689806506072
EDCF10	48.6116964702926	3.50385056849747	1.86723262055957	2.81711896823159	12.1832322472773	0.72566851387495	4.78653677251645	0.106708030925831	0.634040851501366	1.11917306518998	19.3777598211479	0.506845249224883	3.76013682076016	0	0
EDCF14	40.5035801138302	3.16896205978742	1.24757308304745	2.0948782248051	6.99641757621082	0.27091547089681	6.50415399479853	0.0511468492848725	0.999434678955021	3.48489645116563	26.0432267061518	0.258969932301816	7.84233151251038	0.24231730757044	0.291196038683671
EDCF11	17.8068504204072	9.76950206424312	4.6180763299638	1.28673354949562	6.29614840339151	2.51763559717502	25.0446800468964	2.11990405674169	17.2536902455898	4.70479267137943	8.58198661471646	0	0	0	0
EDCF12	36.9588995878397	4.06225501851601	3.64833261833051	2.80981016166084	9.52258099662197	2.04111719033165	10.8105618798965	0.149487188181372	1.26409129459317	1.7417637255796	25.1204325201958	0.552591528961054	0.246723360037302	0.504257759325065	0.56709516992953
EDCF13	57.9881975822382	5.10530910395824	3.10100288633897	2.30544815890219	9.16382432150331	0.37459435119482	7.40532273341304	0	0	1.72546309954505	12.8308377629061	0	0	0	0
925B-1H-1-(92-99)	77	2.9	0.8	5.3	6.8	0.4	1	0.1	0.3	0.7	4.3	0.1	0.2	0	0.1
925B-2H-3-(45-48)	79.7	2.3	0.6	3.7	6.3	0.2	1.7	0	0.5	0.3	4.3	0	0.3	0	0.1
925B-2H-6-(92-95)	77.3	2.6	0.7	4.5	6.4	0.3	1.4	0.1	0.4	0.5	5.3	0.1	0.3	0	0.1
925B-3H-4-(114-117)	49.4	4.3	1.5	2.5	8.4	0.6	9	0.2	3.9	2.3	13.9	0.5	2.2	0.5	0.9
925B-4H-3-(100-103)	56.1	3.3	1.2	2.8	12.9	0.8	3.4	0.1	0.6	0.6	14.8	0.3	2.5	0	0.5
925B-5H-3-(43-46)	58.8	4.7	2.2	2.4	9.3	0.9	5	0.3	0.5	0.8	12.3	0.2	2.3	0	0.4
925B-5H-6-(25-28)	73.6	3.4	1.2	3.3	7.5	0.4	2.5	0.1	0.4	0.4	6.2	0.1	0.9	0	0.2
925B-6H-4-(58-61)	55.3	5.1	1.7	3.8	9.1	0.9	6.8	0.1	1.1	1.7	11.3	0.7	1.8	0.1	0.5
925B-7H-1-(15-19)	65.5	4.6	1.2	3.2	7.1	0.3	6.5	0.2	2.1	0.5	7	0.3	1.2	0.1	0.5
925B-7H-3-(53-56)	62.2	4.9	2.2	3.1	7.1	0.8	6.1	0.3	4.4	0.5	6.7	0.2	1.1	0.1	0.3
925B-7H-5-(40-43)	37.9	13.4	10.4	1.7	6.1	1.4	9.9	0.9	6.7	0.3	8.3	0.4	1.4	0.4	0.8
925B-8H-3-(86-89)	73.5	3.8	1	4.9	7.5	0.4	1.3	0.1	0.4	0.3	6	0.1	0.4	0	0.1
925B-9H-3-(86-89)	61.3	4	2	2.6	10	0.4	6.8	0.1	1.2	0.3	8.8	0.3	1.6	0	0.7
925B-10H-3-(86-89)	38.3	6.4	2.8	1.8	8.3	0.4	13.8	0.1	6.9	3.7	10.5	0.1	4.3	0.4	2.2
925B-11H-3-(87-90)	35	4.1	3.8	1.7	13.1	0.7	9.5	0.2	1.8	8.6	15.5	0.4	4.9	0	0.6
925B-11H-6-(43-48)	58.7	7	3.2	2.8	7	0.6	4.1	0.2	1.3	6.4	7	0.1	1.1	0.1	0.4
925B-12H-4-(86-89)	47.3	4.7	3.4	1.9	8.1	0.4	9	0.2	1.5	4.1	14.1	0.2	4.5	0.1	0.4
925B-14H-3-(100-103)	40.1	4.3	2.9	1.9	6.3	0.7	5.6	0.2	1.1	20.2	12.7	0.3	3.2	0.3	0.2
925B-15H-2-(30-33)	33.5	7.6	8.8	1.2	10.4	0.5	14.7	0.2	5.9	0.4	12.4	0.9	2.4	0	1.1
925B-16H-3-(5-8)	25.5	7.1	7.1	1.1	8.9	0.4	10.1	0.1	2.7	20.9	13.1	0.4	2.2	0	0.5
925B-17H-1-(104-107)	48.1	5.6	7.2	1.7	12.6	0.8	7.1	0.2	2	1	11.5	0	1.2	0	1.1
925B-17H-5-(10-14)	60.5	5.9	4.9	1.7	9.8	0.2	5.1	0	1.3	0.5	8.5	0	0.8	0.2	0.5
925B-18H-3-(122-125)	48.5	5.5	5.1	1.6	11.3	1.2	5.9	0.5	1.4	6	11	0.3	1.1	0	0.6
925B-19H-3-(87-90)	28.1	4.9	7.6	1.6	9.4	1.9	10.5	0.3	3.3	11.5	15.3	0.4	4.1	0	1.2
925B-19H-6-(28-31)	19.8	5.9	4.1	0.6	6.6	0	20.9	0	11.2	2.4	13.2	0.2	6.5	0	8.6
925B-20H-6-(60-63)	40.3	4	5.8	2.2	9.2	1.5	7.7	0.4	1.9	6.7	14.5	0.5	4.4	0.2	0.6
925B-21H-3-(19-23)	28.1	4.5	5.7	2.4	7.3	0.7	11.7	0.3	2	3.3	23.7	0	9.5	0.1	0.6
925B-21H-7-(44-47)	18.2	3.8	17.1	1.9	7.8	0.1	11.3	0.9	8.4	9.3	13.2	0	6.4	0.3	1.3
925B-22H-7-(43-46)	34.4	4.2	8.7	1.9	10.9	0.9	8.2	0.2	3.9	7.9	14.6	0	2.8	0	1.4
925B-23H-5-(42-45)	28.6	4.3	5.9	1.9	7.9	0.1	14.2	0.3	2.7	8	14.8	0.3	9.8	0.1	1.1
