Sample	Ia	Ib	Ic	IIa	IIa'	IIb'	IIb	IIc	IIc'	IIIa	IIIa'	IIIb	IIIb'	IIIc	IIIc'
2	0.341037731186303	0.0103901624111582	0.00365153267498987	0.367734580166003	0.0508216113269344	0.00147550652577194	0.0120646876822554	0.00339518071495178	0.00179380471779867	0.17430022175433	0.0333349808395032	0	0	0	0
10	0.348751624802151	0.00916396786753625	0.00408486365857395	0.404511158151078	0.0191602842250383	0.00128771975351894	0.0101196095227302	0.0035911327491768	0.000358475276650005	0.163737550161617	0.03523361383193	0	0	0	0
18	0.349551576234473	0.0104942271370379	0.00461569527782486	0.400747062072165	0.046251349245031	0.00146703787293295	0.00990822295407417	0.00455746790398484	0.000802532160892452	0.154323625797484	0.0172812033441003	0	0	0	0
26	0.345656578435306	0.00806267248426188	0.00305019630982845	0.400898355852672	0.0335657269909164	0.000562309014902189	0.00742448685346694	0.00336945280920076	0.000272697502084334	0.179636615028495	0.017500908718867	0	0	0	0
34	0.351303015959489	0.0115560675928986	0.00563365117356776	0.395219893246168	0.04878023972477	0.00213100812809666	0.0112323230519013	0.00415013212746554	0.00127389135480516	0.146722266380481	0.0219975112603561	0	0	0	0
42	0.392318635389823	0.00869501171370587	0.00298622098680732	0.416714494004581	0.019770851668827	0.000903870294747168	0.00931052291189171	0.00215180160060477	0.000140078381367578	0.125674578926974	0.02133393412067	0	0	0	0
57	0.376397117266308	0.00784814750283708	0.00363289489534184	0.39432826215614	0.042396078360091	0.000706290423944819	0.00755972737492116	0.0030953770185733	0.000164459408732016	0.142651676624742	0.0212199689683693	0	0	0	0
65	0.356910623379583	0.0117633654717813	0.00414564984526792	0.362123086017546	0.0771088040539122	0.00180738963352828	0.00776137267256124	0.00327828209761933	0.000945093522152317	0.11596485049406	0.0581914828119888	0	0	0	0
73	0.380776230904668	0.00953013053057516	0.00390729888273438	0.380759733337176	0.0547107545232125	0.000979730542230586	0.00866990022560424	0.00351424969357643	0.000466002718134935	0.118863902513517	0.037822066128571	0	0	0	0
81	0.432746503961424	0.0113565850631637	0.0045388875229766	0.342687078413958	0.064766721693419	0.00132545898834403	0.00995719955644089	0.0040869656843806	0.000355382502830784	0.10881702517683	0.0193621914362317	0	0	0	0
89	0.487580816657579	0.0114275454394785	0.00444026232836844	0.335734273628889	0.0426367267722417	0.00157994313709948	0.00727189786135605	0.00385239745742288	0.000109009911374902	0.0816654176364666	0.0237017091697232	0	0	0	0
97	0.390809957497859	0.0116588406557121	0.00379712475556009	0.352801508382153	0.0741894036615571	0.00164187161305451	0.0105572896328745	0.00449792517919607	0.000719786047413773	0.115174747273126	0.0341515453014943	0	0	0	0
