Sample	Ia	Ib	Ic	IIa	IIa'	IIb	IIb'	IIc	IIc'	IIIa	IIIa'	IIIb	IIIb'	IIIc	IIIc'
ZBLT 0.2	0.153	0.152	0.023	0.063	0.226	0.103	0.11	0.007	0.01	0.045	0.081	0.006	0.014	0.002	0.005
ZBLT 0.5	0.223	0.249	0.045	0.058	0.157	0.1	0.016	0.013	0.017	0.035	0.049	0.019	0.013	0.002	0.003
ZBLT 1.0	0.236	0.221	0.048	0.051	0.141	0.077	0.102	0.013	0.01	0.047	0.048	0	0	0.003	0.003
ZBLT 1.5	0.266	0.231	0.056	0.052	0.159	0.076	0.097	0.01	0.007	0.032	0.006	0	0	0.003	0.004
ZBLT 2.0	0.21	0.211	0.059	0.043	0.166	0.084	0.079	0.009	0.018	0.025	0.078	0	0	0.004	0.014
ZBLT 2.5	0.209	0.163	0.061	0.052	0.19	0.067	0.074	0.003	0.025	0.026	0.1	0.005	0.008	0.001	0.014
ZBLT 3.0	0.165	0.16	0.065	0.068	0.149	0.094	0.1	0.004	0.035	0.043	0.075	0.01	0.014	0.001	0.016
ZBLT 3.5	0.148	0.147	0.074	0.068	0.149	0.096	0.1	0.005	0.042	0.044	0.081	0.011	0.017	0.003	0.016
ZBLT 4.0	0.152	0.134	0.074	0.059	0.154	0.104	0.082	0.007	0.048	0.039	0.101	0.01	0.013	0.004	0.019
ZBLT 4.5	0.155	0.148	0.067	0.072	0.142	0.113	0.085	0.004	0.036	0.045	0.094	0.01	0.012	0.002	0.014
ZBLT 5.0	0.15	0.104	0.078	0.069	0.176	0.101	0.077	0.006	0.039	0.046	0.104	0.014	0.017	0.005	0.014
ZBLT 6.0	0.166	0.232	0.072	0.051	0.134	0.095	0.075	0.006	0.03	0.032	0.073	0.007	0.008	0.002	0.014
ZBLT 6.5	0.137	0.141	0.096	0.06	0.127	0.096	0.096	0.006	0.071	0.04	0.081	0.009	0.015	0.003	0.021
ZBLT 7.0	0.132	0.114	0.086	0.065	0.149	0.097	0.087	0.007	0.063	0.044	0.101	0.016	0.019	0.003	0.017
ZBLT 7.5	0.133	0.105	0.066	0.059	0.197	0.086	0.072	0.004	0.041	0.041	0.159	0.01	0.012	0.003	0.011
ZBLT 8.0	0.124	0.12	0.075	0.061	0.185	0.091	0.061	0.007	0.047	0.044	0.149	0.009	0.011	0.002	0.015
ZBLT 8.5	0.196	0.154	0.117	0.065	0.118	0.083	0.064	0.019	0.05	0.028	0.068	0.008	0.013	0.003	0.014
ZBLT 9.0	0.176	0.128	0.141	0.054	0.114	0.088	0.059	0.041	0.069	0.024	0.058	0.008	0.012	0.005	0.023
ZBLT 9.5	0.174	0.131	0.123	0.06	0.115	0.1	0.051	0.038	0.051	0.038	0.065	0.021	0	0.017	0.016
ZBLT 10.0	0.173	0.219	0.173	0.035	0.086	0.083	0.027	0.053	0.017	0.027	0.052	0.026	0	0.028	0
ZBLT 10.5	0.196	0.139	0.132	0.06	0.118	0.108	0.044	0.038	0.035	0.029	0.061	0.012	0.009	0.007	0.012
ZBLT 11.0	0.169	0.23	0.178	0.037	0.078	0.077	0.026	0.048	0.016	0.023	0.047	0.023	0.012	0.024	0.012
ZBLT 11.5	0.289	0.099	0.063	0.049	0.265	0.021	0.048	0.006	0.039	0.014	0.089	0	0	0.018	0
ZBLT 12.0	0.212	0.159	0.095	0.042	0.174	0.044	0.078	0.01	0.062	0.018	0.081	0	0	0.004	0.021
ZBLT 13.0	0.219	0.129	0.034	0.057	0.204	0.07	0.082	0.007	0.02	0.026	0.098	0.011	0.029	0.005	0.01
ZBLT 13.5	0.234	0.135	0.027	0.06	0.194	0.072	0.088	0.006	0.015	0.026	0.11	0.012	0.015	0.005	0.003
ZBLT 14.0	0.196	0.099	0.036	0.074	0.18	0.102	0.068	0.008	0.027	0.033	0.124	0.025	0.015	0.01	0.003
ZBLT 14.5	0.176	0.131	0.056	0.066	0.155	0.1	0.08	0.005	0.042	0.039	0.096	0.013	0.013	0.006	0.022
ZBLT 15.0	0.2	0.164	0.041	0.068	0.203	0.112	0.092	0.005	0.023	0.045	0.01	0.014	0.016	0.005	0.001
ZBLT 15.5	0.202	0.193	0.046	0.06	0.164	0.091	0.084	0.005	0.021	0.034	0.087	0	0	0.003	0.01
ZBLT 16.0	0.214	0.161	0.046	0.061	0.172	0.094	0.07	0.005	0.02	0.033	0.093	0.009	0.009	0.004	0.01
ZBLT 16.5	0.228	0.115	0.036	0.056	0.189	0.096	0.066	0.006	0.029	0.032	0.105	0.016	0.015	0.006	0.002
ZBLT 17.5	0.195	0.127	0.073	0.071	0.151	0.114	0.077	0.009	0.039	0.032	0.084	0.01	0.012	0.007	0.002
ZBLT 11.5	0.222	0.155	0.044	0.095	0.135	0.123	0.067	0.008	0.02	0.037	0.062	0.011	0.014	0.006	0.001
ZBLT 18.0	0.332	0.161	0.086	0.071	0.117	0.085	0.041	0.013	0.013	0.021	0.04	0.006	0.005	0.003	0.006
ZBLT 18.5	0.368	0.177	0.088	0.042	0.119	0.06	0.031	0.03	0.018	0.012	0.033	0.004	0.006	0.002	0.008
