Sample	Ia	Ib	Ic	IIa	IIa'	IIb	IIb'	IIc	IIc'	IIIa	IIIa'	IIIb	IIIb'	IIIc	IIIc'
Naafs_2017_Soils_Brazil-1	0.922389989	0.0123377	0	0.048058281	0.01721403	0	0	0	0	0	0	0	0	0	0
Naafs_2017_Soils_Brazil-3	0.937803169	0.017893716	0.009270238	0.029104236	0.005928641	0	0	0	0	0	0	0	0	0	0
Naafs_2017_Soils_Egypt-2	0.181779115	0	0	0	0.391061453	0	0	0	0	0	0.427159433	0	0	0	0
Naafs_2017_Soils_Gabon-3	0.977871869	0.002570694	0.006842583	0.010282776	0.002432078	0	0	0	0	0	0	0	0	0	0
Naafs_2017_Soils_Ghana-2	0.944925916	0.026614481	0.012049203	0.007268661	0.009141739	0	0	0	0	0	0	0	0	0	0
Naafs_2017_Soils_Greece-13	0.528191834	0	0	0.320155541	0.061244329	0	0	0	0	0.073882048	0.016526248	0	0	0	0
Naafs_2017_Soils_the Netherlands-B	0.093873673	0.100243299	0.012634832	0.045944845	0.205707603	0.042081301	0.224503221	0.004615369	0.010055656	0.05116585	0.169160567	0.033518853	0	0.003247465	0.003247465
Naafs_2017_Soils_the Netherlands-T7	0.529358077	0.025342257	0.011682385	0.352905385	0.007058108	0.019896562	0	0.004928506	0	0.044113173	0.004715546	0	0	0	0
Naafs_2017_Soils_Sout Africa-7	0.898822781	0	0	0.077553293	0.023623926	0	0	0	0	0	0	0	0	0	0
Naafs_2017_Soils_Svalbard-MP2	0.102217747	0.037101256	0.004265383	0.110041821	0.235731791	0.036091698	0.077231186	0.003104391	0.003432497	0.101965357	0.272580657	0.010701315	0.000921222	0.00230684	0.00230684
Naafs_2017_Soils_Svalbard-MP3	0.276269174	0.020869254	0.004188757	0.306082394	0.204717445	0.013068128	0.00611171	0.006161399	0	0.113787124	0.048744615	0	0	0	0
Naafs_2017_Soils_Svalbard-MP4	0.09196099	0.039856682	0.00554257	0.097358249	0.27193882	0.029269751	0.133063194	0.004421601	0.007203265	0.065182282	0.232497312	0.014614117	0.001859978	0.002615595	0.002615595
Naafs_2017_Soils_Svalbard-MP5	0.097216916	0.043334227	0.0057874	0.099782759	0.235772404	0.044759695	0.109475941	0.003734726	0.00843877	0.069562837	0.257154424	0.013456418	0.00188732	0.004818082	0.004818082
Naafs_2017_Soils_Svalbard-MP6	0.083084527	0.034106031	0.005322777	0.124123587	0.154315811	0.042045467	0.060608094	0.002885035	0.010701466	0.188980957	0.258311248	0.016885281	0.002012815	0.008308453	0.008308453
Naafs_2017_Soils_the Netlerlands-M	0.146783321	0.093188095	0.007976515	0.089035672	0.238522896	0.056299129	0.11395021	0.001390579	0.007435734	0.051181026	0.168028275	0.020762114	0	0.002723217	0.002723217
Naafs_2017_Soils_USA-MD3	0.26527889	0.031918868	0	0.048732319	0.441953563	0	0	0	0	0.015158794	0.196957566	0	0	0	0
Naafs_2017_Soils_USA-MD4	0.219105031	0.011129144	0	0	0.466032924	0	0	0	0	0	0.303732901	0	0	0	0
Naafs_2017_Soils_AES -1	0.41	0.05	0.01	0.3	0.12	0.02	0.01	0	0	0.06	0.02	0	0	0	0
Naafs_2017_Soils_QML -1	0.07	0.05	0	0.11	0.24	0.07	0.11	0	0	0.11	0.21	0.01	0.02	0	0
Naafs_2017_Soils_HY-1	0.060606061	0.050505051	0.02020202	0.04040404	0.303030303	0.03030303	0.131313131	0	0	0.060606061	0.272727273	0.02020202	0.01010101	0	0
Naafs_2017_Soils_HYX-2	0.071428571	0.030612245	0.010204082	0.040816327	0.326530612	0.040816327	0.102040816	0	0	0.06122449	0.295918367	0.010204082	0.010204082	0	0
Naafs_2017_Soils_WLHT-2	0.444444444	0.060606061	0.01010101	0.171717172	0.212121212	0.01010101	0.02020202	0	0	0.02020202	0.050505051	0	0	0	0
Naafs_2017_Soils_ND-1	0.18	0.05	0.01	0.03	0.44	0.03	0.06	0	0	0.02	0.18	0	0	0	0
Naafs_2017_Soils_ZD-1	0.090909091	0.060606061	0.01010101	0.080808081	0.272727273	0.060606061	0.161616162	0	0.01010101	0.070707071	0.151515152	0.01010101	0.02020202	0	0
Naafs_2017_Soils_TR-1	0.081632653	0.020408163	0	0.040816327	0.43877551	0.020408163	0.051020408	0	0	0.040816327	0.295918367	0	0.010204082	0	0
Naafs_2017_Soils_JB-1	0.101010101	0.03030303	0	0.03030303	0.494949495	0.01010101	0.050505051	0	0	0.02020202	0.242424242	0.01010101	0.01010101	0	0
Naafs_2017_Soils_ZGEQ-2	0.17	0.16	0.02	0.04	0.29	0.06	0.1	0.01	0.01	0.02	0.1	0.01	0.01	0	0
Naafs_2017_Soils_KDE-3	0.29	0.07	0.02	0.18	0.24	0.04	0.05	0.01	0	0.05	0.05	0	0	0	0
Naafs_2017_Soils_MH-1	0.343434343	0.01010101	0	0.414141414	0.090909091	0	0.01010101	0	0	0.121212121	0.01010101	0	0	0	0
Naafs_2017_Soils_NR-1	0.14	0.08	0.01	0.14	0.25	0.04	0.09	0	0.01	0.09	0.12	0	0.01	0.01	0.01
