Sample	Ia	Ib	Ic	Iia	Iia'	Iib	Iib'	Iic	Iic'	IIIa	IIIa'	IIIb	IIIb'	IIIc	IIIc'
GLAD1-GSL00 1B-1H-1 40-41 cm	0.189899336794336	0.0249765408857059	0.00434672529147375	0.058207431212362	0.166806209750803	0.165812278621582	0.0274039220798103	0.0346396905652999	0.00125672334455527	0.0545584213415689	0.255543913038755	0.00383910598840372	0.0081469764690252	0.00156797962503854	0.00144097035085476
GLAD1-GSL00 1B-1H-1 70-71 cm	0.188064432195705	0.0394440007721866	0.00584269215835794	0.0806363016613514	0.185084488219647	0.134359537421674	0.0387156460115038	0.0473710372200785	0.00246173339728846	0.0697193735838194	0.194444919375822	0.00292429928883603	0.00615138028356408	0.000539971070979928	0.00106875103168048
GLAD1-GSL00 1B-1H-1 100-101 cm	0.194672503291614	0.0429766462936098	0.0057822151213195	0.0751050181714407	0.180422083327028	0.139001251786336	0.0371701088989253	0.0490864013629121	0.00146987605369493	0.0684509846737248	0.193573406782996	0.00244168599836987	0.00630730597852289	0.00048131076514629	0.000918300943271811
GLAD1-GSL00 1B-1H-1 130-131 cm	0.225998353607248	0.0300527975968527	0.00523251485147331	0.0761523926966663	0.14683395324735	0.167279304579968	0.0295136682593359	0.0326243518412478	0.00166911811537368	0.0566405753583506	0.217382151798847	0.00179171546888554	0.00440722534978371	0.000815421909821573	0.00119696879538532
GLAD1-GSL00 1B-1H-2 4-5 cm	0.187296946728758	0.0359339255241926	0.00435003110736274	0.0713741329857725	0.166230184484941	0.152258900752358	0.029597147934493	0.0398114871944221	0.00113273922593132	0.0599145617767851	0.244353880858332	0.00101180954856983	0.00338978072355944	0.000657144990933399	0.000961500302949153
GLAD1-GSL00 1B-1H-2 34-35 cm	0.20338442671516	0.0226175331033896	0.00283632550910992	0.0414009083548726	0.13357717897114	0.178845678593205	0.0224038349850704	0.0413268033622297	0.00069072746630894	0.0596152261977349	0.284275713312255	0.00117740769706155	0.00376729102133569	0.000478063371142964	0.00164995627805434
GLAD1-GSL00 1B-2H-1 16-17 cm	0.240312954660174	0.0160317507447767	0.00230979740095213	0.0457973316705761	0.152273424587032	0.203711264190346	0.0193025822223542	0.0220416778012015	0.000671536169917951	0.0425440680146877	0.2456340251591	0.00182185733939052	0.00346284034561596	0.000832863208527569	0.00191068618426913
GLAD1-GSL00 1B-2H-1 46-47 cm	0.180140581667282	0.0261543042186348	0.0037766440831961	0.0491045303997028	0.161780789166149	0.175503534740756	0.0236595244166983	0.0360972981602723	0.00123641636583319	0.0506437386465183	0.281629661251826	0.00145103152201379	0.00417305090108261	0.000623063729436517	0.00142850178616134
GLAD1-GSL00 1B-2H-1 74-75 cm	0.170407180907537	0.0274040482911887	0.00290610864417691	0.0506188672669086	0.139376682945894	0.181725163884986	0.0213077975329906	0.0329901808593165	0.000602963084531575	0.0464444423765248	0.318788549665462	0.000553474006390436	0.00302073719269186	0.00238879973335116	0.0006962309625668
GLAD1-GSL00 1B-2H-1 100-101 cm	0.243284365207699	0.0110969610107007	0.00133928839784319	0.0355749554100089	0.112295158690561	0.227510886655978	0.0118595207037533	0.0150093731295604	0.000147016012894816	0.0261901470074255	0.31202362561067	9.68656907391076e-05	0.00114624400707944	0.000504079436736313	0.00121459958316838
