Sample	fIa	fIb	fIc	fIIa	fIIa'	fIIb	fIIb'	fIIc	fIIc'	fIIIa	fIIIa'	fIIIb	fIIIb'	fIIIc	fIIIc'
Guo_2020 S10.3	0.295918367	0.051020408	0.030612245	0.326530612	0.132653061	0.040816327	0.020408163	0	0	0.071428571	0.030612245	0	0	0	0
Guo_2020 S10.5	0.343434343	0.060606061	0.03030303	0.333333333	0.111111111	0.03030303	0.01010101	0	0	0.060606061	0.02020202	0	0	0	0
Naafs_2017_Soils_Norway-1	0.137375462	0.079090921	0.009189485	0.122570922	0.214732518	0.075356443	0.108299879	0.00481481	0.005161583	0.070421596	0.154714112	0.01827227	0	0	0
Naafs_2017_Soils_China-25	0.726915959	0.066448146	0.011260508	0.076036301	0.082279751	0.008651638	0.008317167	0	0	0.009142195	0.010948335	0	0	0	0
Q2S3A	0.937692907	0.005507646	0.004029969	0.046240348	0.004310687	0	0	0	0	0.002218443	0	0	0	0	0
Wang_2020_121	0.098933682	0.007103201	0.003584477	0.01009497	0.481164513	0.013799788	0.010081943	0.006403178	0.001128349	0.014547265	0.353158633	0	0	0	0
Naafs_2017_peats 126 Roca Fuerte 20-30cm	0.944821024	0.007104151	0.004972278	0.04089484	0	0.00057148	0	0.000334521	0	0.001301706	0	0	0	0	0
Wang_2020_77	0.137416829	0.075697453	0.006624444	0.026234135	0.419519644	0.016683183	0.096428314	0.001722021	0.004573104	0.016133853	0.183056657	0.002518746	0.013391616	0	0
Wang_2021 Mt. Laji Site 2	0.111111111	0.060606061	0.01010101	0.191919192	0.202020202	0.080808081	0.060606061	0.01010101	0	0.121212121	0.141414141	0	0.01010101	0	0
Naafs_2017_peats 179 Sebangau/Saganbau 0-5cm	0.954036279	0.020570342	0.020224096	0.005169283	0	0	0	0	0	0	0	0	0	0	0
Naafs_2017_peats 136 Buena Vista del Maquía NA	0.924456819	0.015316377	0.007928397	0.047829127	0	0.0013768	0	0.000591821	0	0.00250066	0	0	0	0	0
Q1S2A	0.98238651	0	0	0.010649799	0.006963692	0	0	0	0	0	0	0	0	0	0
Wang_2019 15	0.686	0.065	0.01	0.137	0.077	0.008	0.003	0.002	0	0.008	0.004	0	0	0	0
Naafs_2017_peats 279 Brendan State Forest McDon 30-40A	0.547121048	0.02980699	0.027953338	0.33325815	0	0.014751529	0	0.007055265	0.002257983	0.036343066	0	0.000388331	0.000695984	0.000368314	0
Wang_2019 17	0.671	0.015	0.003	0.245	0.027	0.004	0.002	0.002	0	0.03	0.001	0	0	0	0
GRU45d	0.947528567	0.005080179	0.005320008	0.031578814	0.006606845	0	0	0	0	0.003885586	0	0	0	0	0
Miller_2018 DRM_BPS_331	0.767676768	0.01010101	0	0.202020202	0.01010101	0	0	0	0	0.01010101	0	0	0	0	0
Naafs_2017_peats 188 Sebangau/Saganbau 10-20cm	0.955503866	0.015905484	0.022983396	0.005607254	0	0	0	0	0	0	0	0	0	0	0
Naafs_2017_Soils_China-MG2300	0.369695443	0.040568349	0.007851939	0.279725313	0.126285346	0.01148346	0.017568713	0.002267247	0.001311928	0.081791027	0.056926555	0.002525707	0.000422042	0.000788466	0.000788466
Naafs_2017_Soils_USA-KP2	0.516790778	0.108279973	0.022492703	0.150607598	0.124521969	0.02259114	0.012206106	0.001097565	0.000551243	0.021754431	0.018309159	0.000797334	0	0	0
Dearing Crampton-Flood 2020 IndiaETH6	0.434343434	0.171717172	0.02020202	0.050505051	0.181818182	0.02020202	0.070707071	0	0.01010101	0.01010101	0.03030303	0	0	0	0
Naafs_2017_peats 269 Harberton 44.19	0.388122786	0.011405473	0.005474199	0.469619328	0	0.01024248	0	0.007839225	0	0.106047657	0	0.000481501	0.000347095	0.000420256	0
Wang_2021 Mt. Laji Site 7	0.158415842	0.099009901	0.00990099	0.148514851	0.247524752	0.069306931	0.079207921	0.00990099	0	0.069306931	0.099009901	0	0.00990099	0	0
Naafs_2017_Soils_Ecuador-7	0.895209232	0.037999767	0.01361464	0.029467304	0.015339783	0.001883669	0.00314722	0.001361464	0	0.000741345	0.001235575	0	0	0	0
Naafs_2017_Soils_China-20	0.8895445	0.016092262	0.012546004	0.065710071	0.011830793	0	0	0	0	0.00427637	0	0	0	0	0
Naafs_2017_peats 100 Mira Flores 30-40cm	0.957004138	0.008952447	0.007116944	0.025890139	0	0.000318883	0	7.16E-05	0	0.000645816	0	0	0	0	0
Wang_2021 Mt. Laji Site 11	0.060606061	0.02020202	0	0.050505051	0.323232323	0.02020202	0.070707071	0	0	0.070707071	0.373737374	0	0.01010101	0	0
Naafs_2017_peats 437 M2 NA	0.374970947	0.046830033	0.015115389	0.43674773	0	0.038635342	0	0.004172636	0	0.082769852	0	0.000758072	0	0	0
De Jonge 2019 3E	0.384384384	0.032032032	0.022022022	0.26026026	0.148148148	0.013013013	0.011011011	0.004004004	0	0.093093093	0.032032032	0	0	0	0
Naafs_2017_peats 329 Shidodo sent for 0	0.83914648	0.035369607	0.010454001	0.092231065	0.009363247	0.002400232	0.000912214	0.001308066	0	0.005978092	0.002836996	0	0	0	0
Naafs_2017_peats 346 Piyashiri sent for 40	0.570701021	0.024149748	0.009113593	0.332295828	0	0.004534649	0	0.003082694	0	0.056122467	0	0	0	0	0
Kusch_2019_permafrost AG-0103	0.161834014	0.000937734	0	0.408423175	0.017995932	0.00355354	0	0.000993067	0	0.395259556	0.011002981	0	0	0	0
Naafs_2017_Soils_USA-GB2	0.072494275	0.031934447	0.016429298	0.032447863	0.268002916	0.04754228	0.09344163	0.001653198	0.003963568	0.068797683	0.335773769	0.018277594	0	0.00462074	0.00462074
Naafs_2017_peats 36 Teici Bog Cat	0.579890787	0.006342289	0.008263586	0.371167428	0	0.003460945	0	0.003278804	0	0.027596161	0	0	0	0	0
Naafs_2017_peats 211 Chao de Veiga Mol CVM 5	0.604681705	0.027149028	0.006794281	0.307446371	0	0.013019206	0	0.007775995	0	0.033133414	0	0	0	0	0
Wang_2019 31	0.817	0.021	0.018	0.103	0.022	0.003	0	0.005	0	0.009	0	0.001	0	0.001	0
Dearing Crampton-Flood 2020 IndiaG45	0.46	0.23	0.06	0.03	0.15	0.01	0.04	0	0	0	0.02	0	0	0	0
Naafs_2017_peats 409 004D NA	0.407048732	0.03880882	0.014561761	0.457211913	0	0.026472754	0	0.003897993	0	0.051998026	0	0	0	0	0
IMS1	0.112112112	0.116116116	0.005005005	0.355355355	0.13013013	0.004004004	0.029029029	0.002002002	0.002002002	0.011011011	0.223223223	0.003003003	0.003003003	0.002002002	0.002002002
Naafs_2017_peats 166 Bomfield Swamp 49-50	0.800088978	0.047759425	0.017221529	0.118665437	0	0.005965235	0	0.001726031	0	0.008573364	0	0	0	0	0
Dearing Crampton-Flood 2020 IndiaG17	0.51	0.25	0.04	0.03	0.1	0.01	0.05	0	0	0	0.01	0	0	0	0
T4S8	0.878410679	0.013975823	0.00876535	0.065517577	0.024355828	0.001327122	0.000404297	0.000482653	0	0.004316999	0.002149939	0.000293735	0	0	0
Wang_2021 Mt. Laji Site 10	0.09	0.05	0.01	0.07	0.31	0.05	0.09	0	0.01	0.08	0.23	0	0.01	0	0
Dugerdil_2021 MMNT4M09	0.25313043	0.091972	0.029563643	0.145538865	0.216444338	0.038573044	0.021337177	0.007580945	0.002526762	0.04803887	0.125102245	0.001499703	0.003113746	0.012886882	0.00269135
De Jonge 2019 1F	0.258776329	0.205616851	0.034102307	0.097291876	0.110330993	0.088264794	0.057171515	0.01003009	0.009027081	0.032096289	0.071213641	0.009027081	0.011033099	0.003009027	0.003009027
Guo_2021 DS31_soil	0.163793103	0.047413793	0	0.025862069	0.474137931	0.025862069	0.064655172	0	0	0.017241379	0.181034483	0	0	0	0
Weber_2018_202	0.157502723	0.113578359	0.017356157	0.067217773	0.257387471	0.035394391	0.172030718	0.002272334	0.006140976	0.038581821	0.112631352	0.00180441	0.018101516	5.17E-13	5.17E-13
SFS1B	0.704623967	0.09233752	0.009197699	0.036959709	0.12979584	0.003370522	0.008769068	0	0	0.006040809	0.008904866	0	0	0	0
